"Category","Jan 2024","Feb 2024","Mar 2024","Apr 2024","May 2024","Jun 2024","Jul 2024","Aug 2024","Sep 2024","Oct 2024","Nov 2024","Dec 2024","Average","Total"
"All Income Sources",12500.00,13200.00,12800.00,13500.00,14200.00,13800.00,13600.00,14100.00,13900.00,14500.00,13700.00,15200.00,13750.00,165000.00
"Salary - Person 1",8500.00,8500.00,8500.00,8500.00,8500.00,8500.00,8500.00,8500.00,8500.00,8500.00,8500.00,9000.00,8541.67,102500.00
"Salary - Person 2",3500.00,4200.00,3800.00,4500.00,5200.00,4800.00,4600.00,5100.00,4900.00,5500.00,4700.00,5700.00,4708.33,56500.00
"Interest",250.00,260.00,245.00,255.00,265.00,260.00,258.00,262.00,261.00,268.00,264.00,272.00,260.00,3120.00
"Cash Back Rewards",150.00,140.00,155.00,145.00,135.00,140.00,142.00,138.00,139.00,132.00,136.00,128.00,140.00,1680.00
"Side Hustle",100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,1200.00
"Total Income",12500.00,13200.00,12800.00,13500.00,14200.00,13800.00,13600.00,14100.00,13900.00,14500.00,13700.00,15200.00,13750.00,165000.00
"Fixed Household Expenses",-6850.00,-6850.00,-6850.00,-6850.00,-6850.00,-6850.00,-7200.00,-7200.00,-7200.00,-7200.00,-7200.00,-7200.00,-7033.33,-84400.00
"Mortgage",-2800.00,-2800.00,-2800.00,-2800.00,-2800.00,-2800.00,-2800.00,-2800.00,-2800.00,-2800.00,-2800.00,-2800.00,-2800.00,-33600.00
"Property Tax",-650.00,-650.00,-650.00,-650.00,-650.00,-650.00,-650.00,-650.00,-650.00,-650.00,-650.00,-650.00,-650.00,-7800.00
"Home Insurance",-150.00,-150.00,-150.00,-150.00,-150.00,-150.00,-150.00,-150.00,-150.00,-150.00,-150.00,-150.00,-150.00,-1800.00
"Auto Loan",-450.00,-450.00,-450.00,-450.00,-450.00,-450.00,-450.00,-450.00,-450.00,-450.00,-450.00,-450.00,-450.00,-5400.00
"Auto Insurance",-200.00,-200.00,-200.00,-200.00,-200.00,-200.00,-200.00,-200.00,-200.00,-200.00,-200.00,-200.00,-200.00,-2400.00
"Health Insurance",-800.00,-800.00,-800.00,-800.00,-800.00,-800.00,-800.00,-800.00,-800.00,-800.00,-800.00,-800.00,-800.00,-9600.00
"Life Insurance",-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,-1200.00
"Internet",-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-80.00,-960.00
"Phone",-120.00,-120.00,-120.00,-120.00,-120.00,-120.00,-120.00,-120.00,-120.00,-120.00,-120.00,-120.00,-120.00,-1440.00
"Electricity",-250.00,-250.00,-250.00,-250.00,-250.00,-250.00,-350.00,-350.00,-350.00,-350.00,-350.00,-350.00,-291.67,-3500.00
"Gas (Heating)",-350.00,-350.00,-350.00,-350.00,-350.00,-350.00,-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,-225.00,-2700.00
"Water/Sewer",-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,-100.00,-1200.00
"Trash",-50.00,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00,-50.00,-600.00
"Childcare",-750.00,-750.00,-750.00,-750.00,-750.00,-750.00,-1250.00,-1250.00,-1250.00,-1250.00,-1250.00,-1250.00,-1016.67,-12200.00
"Variable Household Expenses",-3850.00,-4200.00,-4650.00,-3900.00,-5100.00,-4850.00,-4200.00,-5500.00,-4300.00,-4900.00,-6200.00,-5800.00,-4787.50,-57450.00
"Groceries",-800.00,-850.00,-900.00,-750.00,-950.00,-850.00,-800.00,-1100.00,-850.00,-900.00,-1200.00,-1000.00,-912.50,-10950.00
"Eating Out",-450.00,-500.00,-650.00,-400.00,-700.00,-600.00,-500.00,-850.00,-550.00,-650.00,-950.00,-800.00,-633.33,-7600.00
"Gas (Automotive)",-250.00,-280.00,-300.00,-240.00,-320.00,-300.00,-280.00,-350.00,-290.00,-310.00,-380.00,-340.00,-303.33,-3640.00
"Shopping",-600.00,-750.00,-950.00,-650.00,-1200.00,-900.00,-750.00,-1400.00,-800.00,-1100.00,-1850.00,-1600.00,-1045.83,-12550.00
"Entertainment",-350.00,-400.00,-450.00,-380.00,-500.00,-450.00,-400.00,-550.00,-420.00,-480.00,-650.00,-700.00,-477.50,-5730.00
"Healthcare",-200.00,-150.00,-180.00,-220.00,-180.00,-400.00,-200.00,-150.00,-180.00,-200.00,-850.00,-900.00,-317.50,-3810.00
"Home Maintenance",-500.00,-550.00,-500.00,-550.00,-500.00,-600.00,-550.00,-400.00,-500.00,-550.00,-620.00,-760.00,-548.33,-6580.00
"Pet Care",-150.00,-140.00,-160.00,-150.00,-180.00,-170.00,-160.00,-200.00,-160.00,-180.00,-200.00,-200.00,-170.83,-2050.00
"Gifts & Donations",-300.00,-330.00,-310.00,-310.00,-320.00,-330.00,-310.00,-250.00,-300.00,-280.00,-250.00,-1250.00,-386.67,-4640.00
"Miscellaneous",-250.00,-250.00,-250.00,-250.00,-250.00,-250.00,-250.00,-250.00,-250.00,-250.00,-250.00,-250.00,-250.00,-3000.00
"Total Expenses",-10700.00,-11050.00,-11500.00,-10750.00,-11950.00,-11700.00,-11400.00,-12700.00,-11500.00,-12100.00,-13400.00,-13000.00,-11820.83,-141850.00
